,LocationAbbr,LocationDesc,Year,Datasource,TopicDesc,MeasureDesc,SubMeasureDesc,Data_Value,Data_Value_Unit,Data_Value_Type,GeoLocation,Source,TopicTypeId,TopicId,MeasureId,SubMeasureID,SubMeasureIdDisplayOrder,Latitude,Longitude,Id
0,NV,Nevada,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.44,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.49324039, -117.071840564,1
1,OR,Oregon,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.29,$,Dollars,"(44.567449424, -120.155031326)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.567449424, -120.155031326,2
2,NH,New Hampshire,1971,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.361,$,Dollars,"(43.655950113, -71.50036092)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.655950113, -71.50036092,3
3,TN,Tennessee,1972,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.408,$,Dollars,"(35.68094058, -85.774490914)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,35.68094058, -85.774490914,4
4,MA,Massachusetts,1974,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.494,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.27687047, -72.082690675,5
5,UT,Utah,1974,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.405,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.360700171, -111.587130635,6
6,NV,Nevada,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.449,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.49324039, -117.071840564,7
7,NC,North Carolina,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.358,$,Dollars,"(35.466220975, -79.159250463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,35.466220975, -79.159250463,8
8,MT,Montana,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.47600000000000003,$,Dollars,"(47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.066528972, -109.424420645,9
9,PA,Pennsylvania,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.5329999999999999,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.793730152, -77.860700294,10
10,PA,Pennsylvania,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.606,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.793730152, -77.860700294,11
11,MT,Montana,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.5670000000000001,$,Dollars,"(47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.066528972, -109.424420645,12
12,OH,Ohio,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.5870000000000001,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.060210141, -82.404260056,13
13,NV,Nevada,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.633,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.49324039, -117.071840564,14
